Date : 2022-03-11 16:02:21
Directory : /Users/davidbester/Coding/recipes-app
Total : 108 files,  88524 codes, 89 comments, 528 blanks, all 89141 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/davidbester/Coding/recipes-app/client/tsconfig.json                                             | JSON with Comments |         21 |          0 |          1 |         22 |
| /Users/davidbester/Coding/recipes-app/data/generateUsers.js                                            | JavaScript         |         48 |          0 |          8 |         56 |
| /Users/davidbester/Coding/recipes-app/data/generated/gen_recipes.json                                  | JSON               |          1 |          0 |          0 |          1 |
| /Users/davidbester/Coding/recipes-app/data/generated/gen_users.json                                    | JSON               |          1 |          0 |          0 |          1 |
| /Users/davidbester/Coding/recipes-app/data/generated/users.json                                        | JSON               |        166 |          0 |          0 |        166 |
| /Users/davidbester/Coding/recipes-app/data/index.js                                                    | JavaScript         |         33 |          0 |          6 |         39 |
| /Users/davidbester/Coding/recipes-app/data/mocks/recipes_from_api.json                                 | JSON               |     48,498 |          0 |          1 |     48,499 |
| /Users/davidbester/Coding/recipes-app/data/mocks/users_data.json                                       | JSON               |        553 |          0 |          1 |        554 |
| /Users/davidbester/Coding/recipes-app/data/package-lock.json                                           | JSON               |      1,021 |          0 |          1 |      1,022 |
| /Users/davidbester/Coding/recipes-app/data/package.json                                                | JSON               |         18 |          0 |          1 |         19 |
| /Users/davidbester/Coding/recipes-app/server/index.js                                                  | JavaScript         |         20 |          5 |          6 |         31 |
| /Users/davidbester/Coding/recipes-app/server/middleware/authorize.js                                   | JavaScript         |         20 |          0 |          2 |         22 |
| /Users/davidbester/Coding/recipes-app/server/middleware/validation.js                                  | JavaScript         |         32 |          0 |          4 |         36 |
| /Users/davidbester/Coding/recipes-app/server/models/Recipe.model.js                                    | JavaScript         |         50 |          0 |          3 |         53 |
| /Users/davidbester/Coding/recipes-app/server/models/User.model.js                                      | JavaScript         |         11 |          0 |          3 |         14 |
| /Users/davidbester/Coding/recipes-app/server/package-lock.json                                         | JSON               |      5,622 |          0 |          1 |      5,623 |
| /Users/davidbester/Coding/recipes-app/server/package.json                                              | JSON               |         31 |          0 |          1 |         32 |
| /Users/davidbester/Coding/recipes-app/server/routes/auth.js                                            | JavaScript         |         88 |          1 |         22 |        111 |
| /Users/davidbester/Coding/recipes-app/server/routes/profile.js                                         | JavaScript         |        120 |          0 |         19 |        139 |
| /Users/davidbester/Coding/recipes-app/server/routes/recipes.js                                         | JavaScript         |         49 |          0 |         10 |         59 |
| /Users/davidbester/Coding/recipes-app/server/util/jwtGenerator.js                                      | JavaScript         |          9 |          0 |          3 |         12 |
| Total                                                                                                  |                    |     88,524 |         89 |        528 |     89,141 |
+--------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
